timestamp,username,ip,country,success,minutes_since_last_login,country_changed,hour_deviation,ip_failed_5min,travel_risk
2026-08-01 06:00:00,user009,70.66.12.143,CA,True,247.0,1,0.5,0.0,0
2026-08-01 06:03:00,user025,117.198.4.32,IN,True,247.0,1,2.0,0.0,0
2026-08-01 07:10:00,user012,73.12.44.143,US,True,247.0,1,2.0,0.0,0
2026-08-01 07:21:00,user009,98.201.6.123,US,True,81.0,1,0.5,0.0,0
2026-08-01 07:39:00,user014,117.198.4.171,IN,True,247.0,1,2.0,0.0,0
2026-08-01 07:44:00,user002,98.201.6.18,US,True,247.0,1,1.0,0.0,0
2026-08-01 08:16:00,user005,24.15.88.140,US,True,247.0,1,1.0,0.0,0
2026-08-01 08:20:00,user025,81.2.69.39,GB,True,137.0,1,0.0,0.0,0
2026-08-01 08:46:00,user025,73.12.44.47,US,True,26.0,1,0.0,0.0,1
2026-08-01 09:20:00,user010,85.214.132.127,DE,True,247.0,1,0.0,0.0,0
2026-08-01 09:29:00,user005,98.201.6.120,US,True,73.0,0,0.0,0.0,0
2026-08-01 09:44:00,user024,73.12.44.48,US,True,247.0,1,1.0,0.0,0
2026-08-01 09:45:00,user005,73.12.44.98,US,True,16.0,0,0.0,0.0,0
2026-08-01 09:45:00,user002,85.214.132.179,DE,False,121.0,1,1.0,1.0,0
2026-08-01 10:50:00,user026,73.12.44.89,US,True,247.0,1,1.0,0.0,0
2026-08-01 11:04:00,user007,70.66.12.4,CA,True,247.0,1,0.0,0.0,0
2026-08-01 11:07:00,user006,70.66.12.171,CA,True,247.0,1,0.0,0.0,0
2026-08-01 11:12:00,user024,24.15.88.209,US,True,88.0,0,1.0,0.0,0
2026-08-01 11:15:00,user023,81.2.69.55,GB,True,247.0,1,0.0,0.0,0
2026-08-01 11:16:00,user023,73.12.44.207,US,True,1.0,1,0.0,0.0,1
2026-08-01 11:17:00,user012,24.15.88.244,US,True,247.0,0,2.0,0.0,0
2026-08-01 11:18:00,user006,98.201.6.236,US,True,11.0,1,0.0,0.0,1
2026-08-01 11:33:00,user006,73.12.44.93,US,True,15.0,0,0.0,0.0,0
2026-08-01 11:57:00,user014,85.214.132.48,DE,True,258.0,1,2.0,0.0,0
